name,physical_address,postal_address,phone_number
Gapuwiyak Pre School,"N/A, NT, Gapuwiyak",",",(08) 8987 9122
Gapuwiyak School,"N/a, NT, Gapuwiyak","PMB 900, NT, Via Winnellie, 0822",(08) 8987 9122
Gawa Christian School,"Community ID 508, NT, Gawa","PMB 257, NT, Elcho Island via Winnellie, 0822",8970 5212
Gillen Pre School,"12 Newland St, NT, Alice Springs",",",(08) 8952 2355
Gillen Primary School,"55 Milner Rd, NT, Alice Springs, 0870","PO Box 769, NT, ALICE SPRINGS, 0871",(08) 895 52155
Girraween Pre School,"25 Carruth Rd, NT, Girraween",",",(08) 8983 3300
Girraween Primary School,"25 Carruth Rd, NT, Girraween, 0835","PO Box 1042, NT, HOWARD SPRINGS, 0835",(08) 8983 3300
Good Shepherd - Leanyer Campus,"94 Leanyer Drive, NT, Leanyer","PO Box 1146, NT, Howard Springs, 0831",(08) 8983 0300
Good Shepherd Lutheran College,"Cnr Whitewood Rd and Kundook Place, NT, Howard Springs","PO Box 1146, NT, Howard Springs, 0831",08 89830300
Good Shepherd Lutheran School,"Cnr Emery Ave and Temple Tce, NT, Palmerston","PO Box 1146, NT, Howard Springs, 0831",(08) 8983 0300
Gray Pre School,"22 Victoria Dr, NT, Gray",",",(08) 8932 1700
Gray Primary School,"22 Victoria Drive, NT, Gray, 0830","Victoria Drive, NT, GRAY, 0830",(08) 8932 1700
Gunbalanya Pre School,"N/a, NT, Gunbalanya",",",(08) 8979 0181
Gunbalanya School,"N/A, NT, Gunbalanya","PMB 66, NT, Gunbalanya, 0822",(08) 8979 0181
Haasts Bluff School,"N/A, NT, Haasts Bluff (Ikuntji), 0872","Haasts Bluff, NT, via Alice Springs, 0872",(08) 8956 8550
Haileybury Rendall School,"6057 Berrimah Road, NT, Berrimah","PO Box 241, NT, Berrimah, 0828",(08) 8922 1611
Harts Range School,"N/A, NT, Atitjere (Harts Range)","PMB 162, NT, via Alice Springs, 0871",(08) 8956 9771
Henbury School,"11 Henbury Avenue, NT, Tiwi, 0810","11 Henbury Avenue, NT, Tiwi, 0810",(08) 899 77077
Holy Family Catholic School,"Calytrix Road, NT, Karama","PO Box 40870, NT, Casuarina, 0812",(08) 89276188
