name,physical_address,postal_address,phone_number
Wagaman Primary School,"35 Wagaman Tce, NT, Wagaman, 0810","PO Box 40019, NT, CASUARINA, 0811",(08) 8922 6011
Wallace Rockhole School,"N/A, NT, Wallace Rockhole","PO Box 2256, NT, Alice Springs, 0871",(08) 8956 7330
Walungurru School,"N/A, NT, Walungurru (Kintore)","PMB 14, NT, via Alice Springs, 0872",(08) 8964 6056
Wanguri Pre School,"46 Gsell St, NT, Wanguri",",",(08) 8927 1655
Wanguri Primary School,"46 Gsell St, NT, Wanguri, 0810","PO Box 40519, NT, CASUARINA, 0811",(08) 8927 1655
Warruwi School,"N/A, NT, Warruwi (Goulburn Island), 0822","PMB 90, NT, via WINNELLIE, 0821",(08) 8979 0222
Watarrka School,"n/a, NT, Lilla Community","Education Stores, Shed 9, 66A Smith St, NT, Alice Springs, 0870",(08) 8956 7758
Watiyawanu School,"N/A, NT, Mt Liebig","PMB 111, NT, via Alice Springs, 0872",(08) 8956 8555
Willowra School,"N/A, NT, Willowra","PMB 102, NT, via Alice Springs, 0872",(08) 8956 8408
Woodroffe Pre School,"55 Woodroffe Ave, NT, Woodroffe",",",(08) 8983 7611
Woodroffe Primary School,"55 Woodroffe Ave, NT, Woodroffe, 0830","PO Box 2021, NT, PALMERSTON, 0831",(08) 898 37600
Woolaning School,"Litchfield Park Rd, NT, Litchfield Park","PO Box 3261, NT, Palmerston, 0831",(08) 8978 2334
Woolianna School,"Wooliana Rd, NT, Daly River","PMB 194, NT, Winnellie, 0821",(08) 8978 2984
Wugularr School,"Laiwanga St, NT, Wugularr","PMB 6, NT, Katherine, 0851",(08) 8975 4529
Wulagi Pre School,"24 Brolga St, NT, Wulagi",",",(08) 898 37818
Wulagi Primary School,"24 Brolga St, NT, Wulagi, 0812","24 Brolga St, NT, WULAGI, 0812",(08) 898 37800
Wurankuwu Homeland Learning Centre,"Community ID 868, NT, Wurankuwu","Nguiu, NT, Bathurst Island, 0822",(08) 8978 3986
Xavier CEC,"Kerinauia Hwy, NT, Nguiu","PMB 139,, NT, via Winnellie, 0822",(08) 8978 3970
Yarralin School,"N/A, NT, Yarralin","PMB 34, NT, via Katherine, 0851",(08) 8975 0809
Yipirinya School,"Lovegrove Dr, NT, Alice Springs","C/- Yipirinya School Council Inc, PO Box 2363, NT, Alice Springs, 0871",(08) 8952 5633
Yirara College,"470 South Stuart Highway, NT, Alice Springs","PMB 51, NT, Alice Springs, 0871",(08) 8950 5644
Yirrkala Pre School,"Rankine Road, NT, Yirrkala",",",(08) 898 71988
Yirrkala School,"Rankine Road, NT, Yirrkala","PO Box 896, NT, Nhulunbuy, 0881",(08) 898 71988
Yuendumu Pre School,"Conniston Road, NT, Yuendumu",",",(08) 8956 4011
Yuendumu School,"Conniston Rd, NT, Yuendumu","C/ - Post Office, NT, Yuendumu, 0870",(08) 8956 4011
Yulara School,"21 Winmati St, NT, Yulara, 0872","PO Box 146, NT, Yulara, 0872",(08) 8956 2014
Zuccoli Primary School,"130 Zuccoli Parade, NT, Zuccoli, 0830","PO Box 2222, NT, PALMERSTON, 0832",(08) 792 30222
